,rated,turns,ended_as,winning_pieces,time_code,white_rating,black_rating,opening_code,opening_name,upset,rating_dif,game_rating,lower_rated_white,time_block
0,False,13,outoftime,white,15+2,1500,1191,D10,Slav Defense: Exchange Variation,False,309,1345,False,15
1,True,16,resign,black,5+10,1322,1261,B00,Nimzowitsch Defense: Kennedy Variation,True,61,1291,False,5
2,True,61,mate,white,5+10,1496,1500,C20,King's Pawn Game: Leonardis Variation,True,4,1498,True,5
3,True,61,mate,white,20+0,1439,1454,D02,Queen's Pawn Game: Zukertort Variation,True,15,1446,True,20
4,True,95,mate,white,30+3,1523,1469,C41,Philidor Defense,False,54,1496,False,30
5,False,5,draw,draw,10+0,1250,1002,B27,Sicilian Defense: Mongoose Variation,False,248,1126,False,10
6,True,33,resign,white,10+0,1520,1423,D00,Blackmar-Diemer Gambit: Pietrowsky Defense,False,97,1471,False,10
7,False,9,resign,black,15+30,1413,2108,B00,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,False,695,1760,True,15
8,True,66,resign,black,15+0,1439,1392,C50,Italian Game: Schilling-Kostic Gambit,True,47,1415,False,15
9,True,119,mate,white,10+0,1381,1209,B01,Scandinavian Defense: Mieses-Kotroc Variation,False,172,1295,False,10
10,False,39,mate,white,20+60,1381,1272,A00,Van't Kruijs Opening,False,109,1326,False,20
11,False,38,resign,black,20+60,1381,1867,C02,French Defense: Advance Variation |  Paulsen Attack,False,486,1624,True,20
12,False,60,resign,black,5+40,1381,1936,C00,French Defense: Knight Variation,False,555,1658,True,5
13,False,31,resign,black,8+0,1381,1607,C00,French Defense #2,False,226,1494,True,8
14,False,31,mate,white,15+15,1094,1141,C50,Four Knights Game: Italian Variation,True,47,1117,True,15
15,False,43,resign,black,15+15,1141,1094,C57,Italian Game: Two Knights Defense |  Knight Attack,True,47,1117,False,15
16,False,52,resign,black,15+15,1094,1141,C50,Four Knights Game: Italian Variation,False,47,1117,True,15
17,False,66,mate,black,15+16,1141,1094,C50,Four Knights Game: Italian Variation,True,47,1117,False,15
18,False,101,resign,black,15+15,1094,1300,C41,Philidor Defense #3,False,206,1197,True,15
19,False,25,resign,white,11+0,1500,1094,D00,Queen's Pawn Game,False,406,1297,False,11
20,False,14,resign,black,15+15,1094,1676,C55,Italian Game: Anti-Fried Liver Defense,False,582,1385,True,15
21,False,3,resign,white,30+60,1094,1068,A40,Horwitz Defense,False,26,1081,False,30
22,False,17,resign,white,15+5,1500,1094,B20,Sicilian Defense: Bowdler Attack,False,406,1297,False,15
23,True,36,resign,white,10+0,1307,1106,A25,English Opening: King's English Variation |  Reversed Closed Sicilian,False,201,1206,False,10
24,True,13,resign,black,10+0,1113,1423,B21,Sicilian Defense: Smith-Morra Gambit #2,False,310,1268,True,10
25,True,69,mate,white,10+10,1078,1219,D01,Queen's Pawn Game: Chigorin Variation,True,141,1148,True,10
26,True,43,resign,white,10+10,1825,1079,C45,Scotch Game: Haxo Gambit,False,746,1452,False,10
27,True,54,mate,black,10+10,1328,1038,D01,Queen's Pawn Game: Chigorin Variation,True,290,1183,False,10
28,True,53,resign,black,10+10,1056,1156,D10,Slav Defense,False,100,1106,True,10
29,True,66,mate,black,10+10,1077,1148,D06,Queen's Gambit Refused: Marshall Defense,False,71,1112,True,10
30,True,64,resign,black,10+10,1358,1036,B21,Sicilian Defense: Smith-Morra Gambit #2,True,322,1197,False,10
31,True,64,mate,black,10+10,1200,1002,B52,Sicilian Defense: Canal Attack |  Main Line,True,198,1101,False,10
32,True,54,resign,white,10+10,1203,1019,B27,Sicilian Defense,False,184,1111,False,10
33,False,21,resign,black,15+3,1019,1500,D20,Queen's Gambit Accepted: Central Variation |  Greco Variation,False,481,1259,True,15
34,False,11,resign,white,18+0,1422,975,B20,Sicilian Defense: Bowdler Attack,False,447,1198,False,18
35,True,19,resign,black,10+0,976,1832,B06,Robatsch (Modern) Defense,False,856,1404,True,10
36,True,28,resign,white,10+0,1569,978,D00,Blackmar-Diemer Gambit: Tartakower Variation,False,591,1273,False,10
37,False,22,resign,black,15+0,978,1500,A45,Indian Game,False,522,1239,True,15
38,False,37,resign,white,15+0,1500,978,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,False,522,1239,False,15
39,False,34,resign,white,30+30,2449,978,A21,English Opening: King's English Variation |  Reversed Sicilian,False,1471,1713,False,30
40,False,32,draw,draw,20+25,1207,978,B70,Sicilian Defense: Dragon Variation,False,229,1092,False,20
41,False,71,resign,black,5+5,1241,978,B23,Sicilian Defense: Closed Variation,True,263,1109,False,5
42,False,30,resign,white,30+0,1500,978,B21,Sicilian Defense: Smith-Morra Gambit #2,False,522,1239,False,30
43,False,66,resign,white,40+40,2443,978,B76,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line,False,1465,1710,False,40
44,False,41,resign,white,20+0,1500,978,B21,Sicilian Defense: Smith-Morra Gambit #2,False,522,1239,False,20
45,False,49,resign,white,15+0,1500,978,B20,Sicilian Defense: Bowdler Attack,False,522,1239,False,15
46,False,3,resign,black,15+0,978,1500,B01,Scandinavian Defense,False,522,1239,True,15
47,False,7,resign,white,10+0,1343,978,B20,Sicilian Defense: Bowdler Attack,False,365,1160,False,10
48,False,35,mate,white,40+40,2436,978,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,False,1458,1707,False,40
49,False,41,mate,white,40+40,2436,978,B01,Scandinavian Defense: Mieses-Kotroc Variation,False,1458,1707,False,40
50,False,5,resign,black,10+0,978,1500,C00,French Defense: Normal Variation,False,522,1239,True,10
51,False,7,resign,white,10+0,1500,978,C21,King's Pawn Game: Beyer Gambit,False,522,1239,False,10
52,False,53,mate,white,10+0,978,1500,A80,Dutch Defense,True,522,1239,True,10
53,False,36,resign,black,10+0,1500,978,A20,English Opening: King's English Variation,True,522,1239,False,10
54,True,8,resign,white,16+0,1521,1162,A04,Zukertort Opening: Ross Gambit,False,359,1341,False,16
55,True,3,resign,white,6+10,1407,1500,B23,Sicilian Defense: Closed Variation,True,93,1453,True,6
56,True,28,resign,white,10+0,1492,1458,C26,Vienna Game: Mengarini Variation,False,34,1475,False,10
57,True,30,resign,black,10+0,1414,1442,C41,Philidor Defense: Larsen Variation,False,28,1428,True,10
58,True,44,resign,black,10+0,1457,1294,C44,Scotch Game,True,163,1375,False,10
59,True,29,resign,white,10+0,1525,1466,C41,Philidor Defense: Lopez Countergambit,False,59,1495,False,10
60,True,37,resign,black,8+10,1207,1579,C00,French Defense: Knight Variation,False,372,1393,True,8
61,True,49,resign,white,8+12,1567,1573,A40,Modern Defense,True,6,1570,True,8
62,True,32,resign,black,8+12,1578,1605,A40,Horwitz Defense,False,27,1591,True,8
63,True,25,resign,white,8+12,1939,1581,E10,Blumenfeld Countergambit #2,False,358,1760,False,8
64,True,40,mate,black,5+10,1618,1568,C00,French Defense #2,True,50,1593,False,5
65,True,39,resign,white,7+12,1755,1574,A04,Zukertort Opening: Kingside Fianchetto,False,181,1664,False,7
66,True,57,resign,white,15+10,1561,1596,A45,Indian Game,True,35,1578,True,15
67,True,78,resign,black,5+40,1500,1554,C00,French Defense: Queen's Knight,False,54,1527,True,5
68,True,61,resign,white,15+5,1544,1461,D00,Queen's Pawn Game: Mason Attack,False,83,1502,False,15
69,True,44,resign,black,20+5,1563,1335,D00,Queen's Pawn Game: Mason Attack,True,228,1449,False,20
70,True,62,mate,black,20+5,1579,1470,A41,Queen's Pawn,True,109,1524,False,20
71,True,87,mate,white,20+5,1617,1590,A45,Indian Game,False,27,1603,False,20
72,True,54,mate,black,20+5,1207,1588,C02,French Defense: Advance |  Steinitz Variation,False,381,1397,True,20
73,True,54,resign,black,15+5,1595,1547,D00,Queen's Pawn Game: Mason Attack,True,48,1571,False,15
74,True,37,resign,white,15+5,1855,1599,C01,French Defense: Exchange Variation,False,256,1727,False,15
75,True,50,resign,white,15+5,1589,1547,A40,Horwitz Defense,False,42,1568,False,15
76,True,131,resign,white,30+0,1571,1728,D02,Queen's Pawn Game: London System,True,157,1649,True,30
77,True,48,resign,white,30+0,1720,1579,C00,French Defense: Chigorin Variation,False,141,1649,False,30
78,True,47,resign,black,15+5,1579,2105,D02,Queen's Pawn Game: London System,False,526,1842,True,15
79,True,64,mate,black,15+5,1768,1560,C00,French Defense: La Bourdonnais Variation,True,208,1664,False,15
80,True,61,resign,white,15+5,1552,1436,D00,Queen's Pawn Game: Mason Attack,False,116,1494,False,15
81,True,57,mate,white,15+5,1536,1667,D02,Queen's Pawn Game: London System,True,131,1601,True,15
82,True,51,resign,white,15+5,1521,1549,A10,English Opening: Anglo-Lithuanian Variation,True,28,1535,True,15
83,True,58,mate,black,15+5,1251,1545,A00,Crab Opening,False,294,1398,True,15
84,True,71,resign,white,15+5,1537,1408,D00,Queen's Pawn Game: Mason Attack,False,129,1472,False,15
85,True,114,resign,white,15+5,1522,1512,A40,Queen's Pawn,False,10,1517,False,15
86,True,39,resign,white,15+5,1602,1532,C18,French Defense: Winawer Variation |  Advance Variation #2,False,70,1567,False,15
87,True,20,resign,black,15+5,1543,1593,D02,Queen's Pawn Game: London System,False,50,1568,True,15
88,True,48,resign,black,30+0,1556,1539,D00,Queen's Pawn Game: Mason Attack,True,17,1547,False,30
89,True,34,mate,black,20+10,1409,1548,C00,French Defense: Knight Variation,False,139,1478,True,20
90,True,51,resign,white,20+10,1539,1418,D02,Queen's Pawn Game: London System,False,121,1478,False,20
91,True,69,resign,white,20+10,1603,1550,C00,French Defense: Queen's Knight,False,53,1576,False,20
92,True,28,resign,white,20+10,1542,1399,D00,Queen's Pawn Game: Steinitz Countergambit,False,143,1470,False,20
93,True,62,resign,black,20+10,1546,1877,D02,Queen's Pawn Game: London System,False,331,1711,True,20
94,True,62,mate,black,20+10,1134,1535,A47,Queen's Indian Defense,False,401,1334,True,20
95,True,85,mate,white,20+10,1513,1784,A40,Horwitz Defense,True,271,1648,True,20
96,True,38,resign,white,20+10,1501,1445,D02,Queen's Pawn Game: London System,False,56,1473,False,20
97,False,14,resign,white,45+0,1500,1500,C50,Italian Game: Giuoco Pianissimo |  Normal,False,0,1500,False,45
98,True,113,draw,draw,15+0,1745,1714,D06,Queen's Gambit Refused: Marshall Defense,False,31,1729,False,15
99,True,62,resign,white,15+0,1734,1748,D06,Queen's Gambit Refused: Marshall Defense,True,14,1741,True,15
100,True,101,resign,white,10+0,1942,1739,C10,French Defense: Marshall Variation,False,203,1840,False,10
101,True,75,outoftime,white,10+0,1724,1855,C45,Scotch Game,True,131,1789,True,10
102,True,135,mate,white,10+0,1951,1729,C02,French Defense: Advance Variation |  Main Line,False,222,1840,False,10
103,True,81,outoftime,white,10+0,1726,1388,C41,Philidor Defense,False,338,1557,False,10
104,True,46,resign,black,10+0,1735,1806,D80,Gruenfeld Defense,False,71,1770,True,10
105,True,70,mate,black,10+0,1597,1728,C00,French Defense: Knight Variation,False,131,1662,True,10
106,True,39,resign,white,10+0,1743,1738,C10,French Defense: Rubinstein Variation |  Fort Knox Variation,False,5,1740,False,10
107,True,91,resign,white,10+0,1721,1750,D30,Queen's Gambit Declined: Traditional Variation,True,29,1735,True,10
108,True,137,outoftime,white,10+0,1746,1487,D20,Queen's Gambit Accepted: Old Variation,False,259,1616,False,10
109,True,46,resign,black,10+0,1744,1735,C02,French Defense: Advance Variation |  Paulsen Attack,True,9,1739,False,10
110,True,18,resign,black,10+0,1749,1631,D41,Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5,True,118,1690,False,10
111,True,28,resign,black,10+0,1769,1396,D20,Queen's Gambit Accepted: Old Variation,True,373,1582,False,10
112,True,40,resign,black,5+8,1795,1760,A46,Yusupov-Rubinstein System,True,35,1777,False,5
113,True,111,mate,white,15+0,1729,1795,D31,Queen's Gambit Declined: Queen's Knight Variation,True,66,1762,True,15
114,True,54,mate,black,10+0,1795,1784,C64,Ruy Lopez: Classical Variation,True,11,1789,False,10
115,True,33,resign,white,10+0,1770,1872,D02,Queen's Pawn Game: Zukertort Variation,True,102,1821,True,10
116,True,90,resign,black,10+0,1783,1721,D02,Queen's Pawn Game: London System,True,62,1752,False,10
117,True,90,resign,black,10+0,1884,1768,C64,Ruy Lopez: Classical Variation |  Central Variation,True,116,1826,False,10
118,True,40,mate,black,10+0,1756,1756,C24,Bishop's Opening: Ponziani Gambit,False,0,1756,False,10
119,True,49,outoftime,white,8+0,1724,1958,A43,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order,True,234,1841,True,8
120,True,50,resign,black,10+0,2036,1706,A08,King's Indian Attack: French Variation,True,330,1871,False,10
121,True,59,mate,white,10+0,1706,925,D02,Queen's Pawn Game: London System,False,781,1315,False,10
122,True,26,outoftime,black,15+15,1244,1219,B00,Nimzowitsch Defense: Mikenas Variation,True,25,1231,False,15
123,True,23,mate,white,15+15,1215,921,C50,Italian Game,False,294,1068,False,15
124,True,118,mate,black,15+15,1350,1201,B03,Alekhine Defense #2,True,149,1275,False,15
125,True,66,mate,black,15+15,1210,1280,B29,Sicilian Defense: Nimzowitsch Variation,False,70,1245,True,15
126,True,120,draw,draw,15+15,1139,1212,C50,Four Knights Game: Italian Variation,False,73,1175,True,15
127,True,36,mate,black,15+15,1220,1341,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,False,121,1280,True,15
128,True,26,mate,black,15+15,1234,1359,C55,Italian Game: Anti-Fried Liver Defense,False,125,1296,True,15
129,True,62,resign,black,15+15,1275,1236,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,True,39,1255,False,15
130,True,37,resign,white,15+15,1433,1282,B02,Alekhine Defense: Maroczy Variation,False,151,1357,False,15
131,True,24,resign,black,15+15,1132,1276,D06,Queen's Gambit Refused: Marshall Defense,False,144,1204,True,15
132,False,47,resign,white,30+2,1276,1308,C55,Italian Game: Anti-Fried Liver Defense,True,32,1292,True,30
133,True,37,resign,black,15+15,1228,1266,B02,Alekhine Defense: Two Pawn Attack |  Lasker Variation,False,38,1247,True,15
134,True,24,resign,black,15+15,1273,1409,B13,Caro-Kann Defense: Exchange Variation,False,136,1341,True,15
135,True,9,resign,white,15+15,1338,1277,D00,Queen's Pawn Game #2,False,61,1307,False,15
136,True,47,mate,white,15+15,1263,1336,B57,Sicilian Defense: Modern Variations |  Main Line,True,73,1299,True,15
137,True,85,mate,white,15+15,1316,1273,A20,English Opening: King's English Variation,False,43,1294,False,15
138,True,39,mate,white,15+15,1248,1253,B00,Goldsmith Defense,True,5,1250,True,15
139,True,58,mate,black,15+15,1335,1233,E20,Nimzo-Indian Defense,True,102,1284,False,15
140,True,95,mate,white,15+15,1223,1189,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,False,34,1206,False,15
141,True,2,resign,black,15+15,1443,1204,B02,Alekhine Defense,True,239,1323,False,15
142,True,97,mate,white,15+15,1227,1216,D06,Queen's Gambit Refused: Marshall Defense,False,11,1221,False,15
143,True,12,draw,draw,15+15,1215,1219,C50,Italian Game,False,4,1217,True,15
144,True,30,resign,white,15+15,1227,1227,C50,Four Knights Game: Italian Variation,False,0,1227,False,15
145,True,43,mate,white,10+0,1550,1225,E11,Bogo-Indian Defense: Exchange Variation,False,325,1387,False,10
146,True,11,resign,white,15+15,1325,1234,B02,Alekhine Defense,False,91,1279,False,15
147,True,72,mate,black,15+15,1212,1221,B02,Alekhine Defense: Saemisch Attack,False,9,1216,True,15
148,True,156,mate,black,15+15,1226,1478,C40,King's Knight Opening,False,252,1352,True,15
149,True,18,resign,black,25+0,1228,1626,D30,Queen's Gambit Declined,False,398,1427,True,25
150,False,77,mate,white,10+2,1191,1228,C11,French Defense: Classical Variation |  Steinitz Variation,True,37,1209,True,10
